pid,Geographic region,Gender,Age,Education level,Race,Citizen of the US,Marital status,Religion,Religious attendance,Political affiliation,Income,Political views,Household size,Employment status,score_extraversion,score_agreeableness,wave1_score_conscientiousness,score_openness,score_neuroticism,score_needforcognition,score_agency,score_communion,score_minimalism,score_BES,score_GREEN,crt2_score,score_fluid,score_crystallized,score_syllogism_merged,score_actual_total,score_overconfidence,score_overplacement,score_ultimatum_sender,score_ultimatum_accepted,score_mentalaccounting,score_socialdesirability,wave2_score_conscientiousness,score_anxiety,score_HI,score_HC,score_VI,score_VC,score_finliteracy,score_numeracy,score_deductive_certainty,score_forwardflow,score_discount,score_presentbias,score_riskaversion,score_lossaversion,score_trustgame_sender,score_trustgame_receiver,score_RFS,score_ST-TW,score_depression,score_CNFU-S,score_selfmonitor,score_SCC,score_needforclosure,score_maximization,score_wason,score_dictator_sender,score_extraversion_pct,score_agreeableness_pct,wave1_score_conscientiousness_pct,score_openness_pct,score_neuroticism_pct,score_needforcognition_pct,score_agency_pct,score_communion_pct,score_minimalism_pct,score_BES_pct,score_GREEN_pct,crt2_score_pct,score_fluid_pct,score_crystallized_pct,score_syllogism_merged_pct,score_actual_total_pct,score_overconfidence_pct,score_overplacement_pct,score_ultimatum_sender_pct,score_ultimatum_accepted_pct,score_mentalaccounting_pct,score_socialdesirability_pct,wave2_score_conscientiousness_pct,score_anxiety_pct,score_HI_pct,score_HC_pct,score_VI_pct,score_VC_pct,score_finliteracy_pct,score_numeracy_pct,score_deductive_certainty_pct,score_forwardflow_pct,score_discount_pct,score_presentbias_pct,score_riskaversion_pct,score_lossaversion_pct,score_trustgame_sender_pct,score_trustgame_receiver_pct,score_RFS_pct,score_ST-TW_pct,score_depression_pct,score_CNFU-S_pct,score_selfmonitor_pct,score_SCC_pct,score_needforclosure_pct,score_maximization_pct,score_wason_pct,score_dictator_sender_pct,name
755,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",Black,Yes,Never been married,Protestant,Once a week,Democrat,"$30,000-$50,000",Moderate,4,Student,2.375,4.111,4.111,3.8,2.125,3.0,5.167,6.417,2.5,3.5,3.333,3.0,2.0,4.0,7.0,16.0,-1.0,-10.0,60.0,83.333,75.0,10.0,5.0,0.0,4.25,3.75,2.25,2.75,4.0,7.0,4.0,0.713,350.002,0.056,0.611,,40.0,45.0,4.4,10.0,2.0,2.583,2.538,3.0,3.6,2.833,2.0,40.0,33,62,58,53,32,30,61,31,14,26,40,88,71,27,61,49,5,8,93,70,70,88,26,12,52,45,35,15,31,80,100,4.0,67.0,71.0,100.0,,61,66,24,39,21,57,33,31,54,34,65,81,Andrew
1549,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,Yes,Living with a partner,Protestant,Seldom,Democrat,"Less than $30,000",Liberal,4,Full-time employment,2.125,4.333,3.667,3.8,3.25,3.833,3.5,6.75,2.417,3.85,3.833,3.0,4.0,5.0,8.0,20.0,12.0,2.0,60.0,33.333,100.0,8.0,6.0,6.0,3.5,3.25,2.25,3.75,4.0,4.0,4.0,0.791,56.314,0.1,0.028,,60.0,55.0,4.7,10.0,10.0,2.0,2.615,2.417,3.4,3.5,3.0,40.0,26,73,37,53,71,69,13,41,12,48,59,88,100,37,71,74,50,49,93,4,100,74,36,47,17,22,35,50,31,33,100,25.0,61.0,80.0,39.0,,77,89,41,39,57,33,39,15,42,73,96,81,John
1043,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,White,Yes,Married,Agnostic,Never,Republican,"$30,000-$50,000",Conservative,3,Part-time employment,3.375,4.0,4.111,3.9,2.5,3.722,3.75,7.917,1.75,3.75,2.5,3.0,1.0,6.0,6.0,16.0,18.0,4.0,40.0,66.667,75.0,3.0,8.0,3.0,4.75,4.5,2.25,4.5,6.0,6.0,3.0,0.8,32.617,0.097,0.15,0.686,0.0,45.0,5.2,20.0,3.0,2.083,2.231,4.333,3.667,2.667,3.0,40.0,71,56,58,59,47,64,19,82,2,41,20,88,55,49,49,49,82,60,65,33,70,31,100,32,82,83,35,84,91,61,15,30.0,58.0,80.0,62.0,32.0,13,66,71,94,27,38,14,72,59,26,96,81,Steven
218,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,Yes,Never been married,Roman Catholic,A few times a year,Republican,"$75,000-$100,000",Conservative,1,Full-time employment,3.0,3.889,3.333,3.6,3.875,2.5,6.167,8.583,3.583,4.35,3.0,1.0,1.0,4.0,6.0,12.0,16.0,-2.0,0.0,83.333,75.0,3.0,7.0,26.0,4.5,4.5,3.75,4.5,7.0,5.0,4.0,0.791,4823.011,0.228,-0.111,0.877,40.0,50.0,5.1,10.0,18.0,2.25,3.077,2.5,4.133,3.667,2.0,40.0,57,49,24,41,86,15,81,95,56,78,31,38,55,27,49,23,73,29,6,70,70,31,53,92,67,83,88,84,100,47,100,25.0,83.0,93.0,15.0,48.0,61,75,65,39,79,43,76,17,85,81,65,81,Sofia
1603,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,High school graduate,Black,Yes,Married,Other,Once a week,Independent,"$30,000-$50,000",Moderate,2,Retired,3.375,4.778,4.667,3.7,1.625,3.111,4.833,7.0,3.333,4.55,3.333,1.0,0.0,7.0,5.0,13.0,23.0,0.0,60.0,100.0,50.0,12.0,8.0,8.0,3.25,4.25,2.75,3.75,2.0,2.0,4.0,0.886,4477.834,-0.089,-0.067,,60.0,56.0,5.4,11.0,13.0,2.5,1.385,3.833,2.467,1.833,3.0,60.0,71,92,82,46,18,35,52,51,45,88,40,38,26,64,32,29,95,41,93,100,32,97,100,56,11,72,55,50,5,11,100,96.0,77.0,6.0,19.0,,77,90,81,48,67,54,0,55,7,2,96,97,Mia
577,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,Black,Yes,Never been married,Protestant,Seldom,Something else,"Less than $30,000",Moderate,3,Unemployed,1.875,3.111,2.333,2.6,4.25,1.444,4.333,5.5,3.167,3.5,3.0,2.0,1.0,3.0,6.0,12.0,-1.0,-11.0,40.0,33.333,75.0,6.0,3.0,12.0,4.25,4.25,2.5,1.5,5.0,6.0,4.0,0.877,1501199877031962.8,-0.278,0.3,,40.0,30.0,3.9,9.0,18.0,2.333,2.538,2.833,4.2,3.0,2.0,40.0,18,14,3,6,94,2,37,11,37,26,31,59,55,17,49,23,5,5,65,4,70,58,12,70,52,72,45,2,57,61,100,93.0,97.0,0.0,79.0,,61,20,7,29,79,47,33,26,87,45,65,81,Ava
1094,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,Yes,Never been married,Agnostic,Never,Independent,"$30,000-$50,000",Liberal,4,Full-time employment,2.375,2.889,3.0,4.1,4.0,3.056,5.417,4.333,3.667,4.05,4.5,1.0,4.0,8.0,6.0,19.0,14.0,3.0,40.0,66.667,100.0,2.0,7.0,8.0,3.75,2.0,3.5,3.5,5.0,4.0,4.0,0.815,0.0,0.0,0.067,0.888,40.0,45.0,3.9,5.0,13.0,2.417,2.846,3.667,3.267,3.167,3.0,40.0,33,9,15,69,89,32,67,2,60,61,86,38,100,82,49,69,62,55,65,33,100,23,53,56,25,2,81,40,57,33,100,43.0,40.0,52.0,50.0,55.0,61,66,7,2,67,50,58,50,34,55,96,81,Abigail
1475,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,Black,Yes,Never been married,Agnostic,Never,Democrat,"$30,000-$50,000",Very liberal,3,Student,1.375,3.222,2.667,2.9,3.125,2.889,3.75,5.0,2.0,3.95,2.5,2.0,3.0,5.0,7.0,17.0,13.0,-2.0,20.0,66.667,75.0,1.0,0.0,12.0,4.75,2.75,2.25,3.0,6.0,8.0,4.0,0.783,22.469,0.45,0.0,0.877,40.0,0.0,3.6,21.0,37.0,2.75,2.538,2.917,3.4,3.167,3.0,0.0,7,18,7,12,68,25,19,5,5,55,20,59,88,37,61,56,56,29,10,33,70,18,2,70,82,8,35,22,91,100,100,21.0,58.0,99.0,36.0,48.0,61,7,2,97,98,64,33,28,42,55,96,11,Kenneth
1453,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,Yes,Divorced,Protestant,Once a week,Republican,"$30,000-$50,000",Conservative,2,Part-time employment,3.125,4.111,3.556,3.4,2.625,2.667,4.417,6.833,3.25,3.45,3.667,1.0,1.0,7.0,8.0,17.0,3.0,-10.0,40.0,100.0,75.0,10.0,7.0,9.0,4.0,4.5,2.5,5.0,6.0,5.0,4.0,0.607,1046388.386,-0.083,0.267,0.728,40.0,45.0,4.5,11.0,19.0,3.583,2.538,3.333,4.6,3.0,2.0,40.0,62,62,32,31,51,19,40,45,41,23,52,38,55,64,71,56,11,8,65,100,70,88,53,60,40,83,45,100,91,47,100,0.0,87.0,6.0,77.0,36.0,61,66,29,48,81,89,33,40,97,45,65,81,Robert
548,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,65+,College graduate/some postgrad,Other,Yes,Married,Roman Catholic,Once a week,Republican,"$75,000-$100,000",Conservative,2,Self-employed,2.625,3.444,3.556,3.5,3.75,3.167,3.667,7.833,3.333,3.7,3.0,2.0,0.0,9.0,8.0,19.0,7.0,-3.0,40.0,100.0,75.0,5.0,7.0,4.0,4.5,4.0,3.0,4.25,7.0,8.0,4.0,0.857,4735.523,-0.082,0.611,0.232,20.0,45.0,4.6,10.0,7.0,1.333,2.462,4.25,3.8,2.667,2.0,20.0,42,27,32,36,83,38,17,80,45,38,31,59,26,100,71,69,23,26,65,100,70,48,53,38,67,60,65,74,100,100,100,82.0,81.0,6.0,100.0,3.0,25,66,35,39,45,13,27,69,67,26,65,18,Elizabeth
